"[AT] Admin Task","1","0.035"
"[AT] Admin Task","2","0.07"
"[AT] Admin Task","3","0.150"
"[B] Bug Report","1","0.03"
"[B] Bug Report","2","0.06"
"[B] Bug Report","3","0.135"
"[CT] Content Task","1","0.100"
"[CT] Content Task","2","0.200"
"[CT] Content Task","3","0.300"
"[D] Development","1","0.100"
"[D] Development","2","0.200"
"[D] Development","3","0.300"
"[F] Feature Request","1","0.03"
"[F] Feature Request","2","0.06"
"[F] Feature Request","3","0.135"
"[IC] Issue Creation","1","0.03"
"[IC] Issue Creation","2","0.06"
"[IC] Issue Creation","3","0.135"
"[TWR] Twitter Post","1","0.03"
"[TWR] Twitter Post","2","0.06"
"[TWR] Twitter Post","3","0.135"
